phenomenon,accuracy
BA_BEI_subj_drop,0.2167
BA_deletion,0.95
BA_duplicate_argument,0.0
BA_inversion,0.3667
BA_meiba,0.0
BA_negation,0.5533
BA_no_progressive,0.02
BA_no_stative_verb,0.9933
BA_suo_adverbial_a,0.1167
BA_suo_adverbial_b,0.13
BA_verb_le_a,0.0
BA_verb_le_b,1.0
BEI_construction_a,0.43329999999999996
BEI_construction_b,0.4267
BEI_deletion,0.98
BEI_preposition,0.3
PN_numP_a,0.15
PN_numP_b,0.7267
adjective_transitive_dui,0.87
agent_animacy_adv,0.7067
agent_animacy_passive,0.6933
agent_animacy_subj,0.5133
agent_causative,0.5433
agent_deletion,0.8067
anaphor_gender_agreement,0.5233
anaphor_number_agreement,0.0
causative_shi_ba,0.026699999999999998
classifier_noun_agreement,0.5832999999999999
classifier_noun_agreement_no_gap,0.4633
control_modal_vs_raising_modal,0.5932999999999999
ellipsis_adj,0.5433
ellipsis_double_object,0.0
ellipsis_n_bar_class,0.44329999999999997
existential_there_subject_raising,0.18
fci_renhe_dou,1.0
fci_renhe_prepP,0.0067
fci_renhe_ruguo,0.0
fci_renhe_subj,0.0
fci_renhe_suoyou,0.0
intransitive_double_obj,0.0
intransitive_no_obj,0.4767
left_adverbial_b,0.4267
left_adverbial_d,0.45
left_adverbial_e,0.2633
left_adverbial_negation,0.7167
left_dou,0.8067
modal_raising_hui,0.44670000000000004
modal_raising_topicalization,0.6333
nominal_definite_men,0.07
nominal_modal_insertion,0.4533
noun_adjective_shi,1.0
npi_renhe_A_not_A_question,0.0
npi_renhe_conditional,1.0
npi_renhe_neg_scope_locP,0.64
npi_renhe_neg_scope_subj,0.93
npi_renhe_wh_question_obj,1.0
npi_renhe_wh_question_subj,0.22
passive_agent_deletion_long_left,0.6433
passive_agent_deletion_long_right_b,0.7232999999999999
passive_agent_deletion_short,0.7633
passive_body_part,0.65
passive_intransitive,0.58
passive_no_adj,0.5467
passive_suo,0.76
plural_cardinal_men_a,0.036699999999999997
plural_cardinal_men_b,0.0533
preposition_deletion,0.9767
preposition_insertion,0.9567
principle_A_c_command,0.0
principle_A_c_command_number,0.0
principle_A_domain,0.0
principle_A_domain_number,1.0
question_A_not_A,0.1133
question_A_not_A_daodi_a,0.4567
question_A_not_A_daodi_b,0.4133
question_A_not_A_indirect,0.0
question_V_not_VP_1,0.0
question_V_not_VP_2,0.2433
question_daodi_nandao_1,0.95
question_daodi_nandao_2,0.0633
question_daodi_nandao_A_not_A_intran,0.0533
question_daodi_nandao_A_not_A_tran,0.0733
question_daodi_negation,0.16329999999999997
question_nandao_negation,0.4
question_nandao_raising_1_a,0.5967
question_nandao_raising_1_b,0.8133
question_nandao_raising_2,0.8933
question_nandao_raising_3,0.83
question_nandao_scope_1,0.7767000000000001
question_nandao_scope_2,0.7033
question_particle_daodi_choice_intran,0.7232999999999999
question_particle_daodi_choice_tran,0.5067
question_particle_nandao,0.88
relative_operator_intepretation,1.0
relative_operator_who,0.9333
relativization_movement_no_gap,0.0
relativization_movement_when_where,0.0533
renhe_no_episodic_sentences,0.17670000000000002
renhe_no_superordinate_negation,0.9933
renhe_non_factive_verb,1.0
right_yijing_a,0.9
right_yijing_b,0.66
singular_PN_but_plural_pron,0.07
superlative_quantifiers_1,0.37670000000000003
superlative_quantifiers_2,1.0
topicalization_OSV,0.5832999999999999
topicalization_OSV_mei,0.5533
topicalization_SOV_mei,0.6267
verb_negation_particle,0.44329999999999997
verb_phrase_left_adverbial,0.4567
verb_phrase_left_negation,0.6333
ya_insertion,0.5233
you_quantifier_adj,0.5
you_yige,0.0
